Source Row,Brand Name,Parent Company,Item Description,Type Product,Type Material,Layers,Total Count,Is Valid?,Derived Item Category
71,Bio,Bio Foods Kenya,Milk Bottle,FP,HDPE,ML,1.0,Yes,Dairy packaging
72,Gracias,Gracier Products,Yoghurt bottle,FP,HDPE,ML,1.0,Yes,Dairy packaging
73,Lyons,Unilever,Ice cream container,FP,LDPE,SL,1.0,Yes,Personal care
74,KDF,Unidentified / missing,Plastic water bottle,FP,PET,SL,2.0,No,Water bottles
75,Drop,Drop Lake Mineral Water,Plastic water bottle,FP,PET,SL,6.0,Yes,Water bottles
76,Capricorn,Unidentified / missing,Plastic water bottle,FP,PET,SL,9.0,No,Water bottles
77,Fanta,The Coca-Cola Company,Plastic juice bottle,FP,PET,SL,19.0,Yes,Non-alcoholic beverages
78,Marere,Marere Water,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
79,Milk Star,Carrefour,Biscuit wrapper,FP,PP,ML,1.0,Yes,Food packaging
80,Unknown,Unbranded,Clothes hangers,HP,PS,ML,21.0,Yes,Other / unclassified
81,Edemer,Nesfood Industries,Biscuit wrapper,FP,PP,ML,1.0,Yes,Food packaging
82,Nawaa Ice,Nawaa Water,Plastic water bottle,FP,PET,SL,2.0,Yes,Water bottles
83,Millie,Unidentified / missing,Plastic water bottle,FP,PET,SL,1.0,No,Water bottles
84,Lenana,Lenana Industries,Plastic water bottle,FP,PET,SL,7.0,Yes,Water bottles
85,Josmu Salem,Josmu Salem Production,Plastic water bottle,FP,PET,SL,4.0,Yes,Water bottles
86,Aquille,Komax Investment Limited,Plastic water bottle,FP,PET,SL,7.0,Yes,Water bottles
87,Solai Aqua,Dutch Water,Plastic water bottle,FP,PET,SL,6.0,Yes,Water bottles
88,Aklilan Ice,Unidentified / missing,Plastic water bottle,FP,PET,SL,6.0,No,Water bottles
89,Lango Water,Lango Industries,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
90,Grance Park,Unidentified / missing,Plastic water bottle,FP,PET,SL,2.0,No,Water bottles
91,Keluarga,No Brand,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
92,Aquamist Oxyrich,Carrefour,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
93,Coke,The Coca-Cola Company,Plastic juice bottle,FP,PET,SL,7.0,Yes,Non-alcoholic beverages
94,Island,Unidentified / missing,Plastic water bottle,FP,PET,SL,1.0,No,Water bottles
95,Aquaclear,Aquaclear Mineral Drinking,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
96,DWL,Dutch Water Limited,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
97,Horizon,Horizon Mineral Water,Plastic water bottle,FP,PET,SL,3.0,Yes,Water bottles
98,Waba,Waba Mineral Water,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
99,Mayers,Mayers Natural Spring Water,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
100,Amani Tiwi Beach,Amani Tiwi Beach Resort,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
101,Bamburi,Bamburi Beach Resort,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
102,Highlands,Plastic water bottle,Plastic water bottle,FP,PET,SL,3.0,Yes,Water bottles
103,Ilara,Brookside Diary limited,Yoghurt bottle,FP,PET,SL,2.0,Yes,Dairy packaging
104,Limuru Springs,Limuru Springs Mineral Water,Plastic water bottle,FP,PET,SL,4.0,Yes,Water bottles
105,Atlas,Atlas Kenya Limited,Plastic water bottle,FP,PET,SL,2.0,Yes,Water bottles
106,Halal Ice,Halal Ice Drinking Water,Plastic water bottle,FP,PET,SL,1.0,Yes,Water bottles
107,Safari King,Carrefour,Plastic water bottle,FP,PET,SL,13.0,Yes,Water bottles
108,Unknown,Unbranded,Fishing nets,FG,O,SL,3.0,Yes,Other / unclassified
